Team ,Average Home goals scored,Average home goals conceeded,Average Away Goals Scored,Average Away Goals Conceded
Arsenal,1.75,0.75,3.00,1.75
Bournemouth,2.50,1.25,1.50,1.75
Brighton,1.75,1.50,0.50,1.75
Burnley,1.50,1.50,1.00,1.50
Cardiff,0.75,2.50,0.25,1.75
Chelsea,2.50,1.00,2.00,0.25
Crystal Palace,0.00,1.25,1.25,1.00
Everton,1.75,1.25,1.50,1.75
Fulham,1.50,2.50,0.75,2.75
Huddersfield,0.00,1.50,1.00,2.75
Leicester,1.75,1.25,1.75,1.75
Liverpool,2.00,0.00,1.75,0.75
Man City,3.25,0.50,2.00,0.25
Man Utd,1.50,1.75,1.75,1.75
Newcastle,0.75,2.00,0.75,1.25
Southampton,0.75,1.75,0.75,1.75
Tottenham,1.67,1.00,2.00,0.80
Watford,1.40,1.60,1.33,1.33
West Ham,1.00,1.00,1.00,2.25
Wolves,1.50,0.75,0.75,0.75
League Average,1.48,1.33,1.33,1.48